"";"TIPO_REG";"ENCUESTA";"COD_VEREDA";"PRED_ETNICA";"S05_TENENCIA";"P_S6P71";"P_S6P65";"P_S6P66";"P_S7P84F";"P_S7P85B";"P_S12P150A";"P_S15P158B";"PRED_ETNICA_C";"S05_TENENCIA_C";"P_S6P71_C";"P_S6P65_c"
"13";"1";"83577334";"99001006";"6";"1";"6";"1";5075959,3848;3;13;8739144,5913;3;"Territorios de Ocupación Colectiva de Comunidades Negras sin titulación";"Propia";"Sequía";"Si"
"14";"1";"83577391";"99001006";"7";"1";"12";"1";25228208,933;146;380;30111884,816;5;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"15";"1";"83577416";"99001006";"7";"7";"6";"1";1333150,0224;30;94;2498572,0386;2;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"16";"1";"83577417";"99001006";"7";"6";"12";"1";28172335,908;9;43;30059693,683;6;"Ninguno de los anteriores";"Ocupación de hecho";"No fueron Afectados";"Si"
"17";"1";"83577448";"99001002";"7";"7";"6";"1";418284,61815;7;17;1068412,8255;3;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"18";"1";"83699159";"99001006";"7";"1";"12";"1";62879,886766;1;3;120005,15694;1;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"19";"1";"83707381";"99001006";"7";"7";"6";"1";6655917,7615;7;23;7008535,0039;3;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"20";"1";"83707385";"99001006";"7";"1";"6";"1";844837,06926;22;73;1000516,691;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"21";"1";"83707386";"99001006";"7";"1";"6";"1";758273,88828;18;85;955551,19892;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"22";"1";"83707391";"99001006";"7";"1";"6";"1";3001941,3475;9;30;3238150,8373;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"23";"1";"83707395";"99001006";"7";"1";"6";"1";13478639,934;25;31;13616450,844;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"24";"1";"83707397";"99001006";"7";"1";"6";"1";15161845,489;40;103;15635407,2;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"25";"1";"83707403";"99001006";"7";"7";"6";"1";7433247,9994;28;104;9024142,2047;6;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"26";"1";"83707423";"99001006";"7";"1";"6";"1";43427802,011;270;879;43566821,968;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"27";"1";"83707516";"99001006";"7";"1";"12";"1";5208424,8794;213;693;5431795,576;5;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"28";"1";"83707549";"99001006";"7";"1";"12";"2";0;0;0;3999996,5779;0;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"No"
"29";"1";"83759704";"99001006";"7";"1";"12";"1";8661158,6657;274;866;14403503,848;8;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"30";"1";"83759785";"99001006";"7";"1";"6";"1";5335129,024;5;19;7631003,5926;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"31";"1";"83759898";"99001006";"7";"1";"6";"2";0;48;108;6732945,0194;5;"Ninguno de los anteriores";"Propia";"Sequía";"No"
"32";"1";"83759899";"99001006";"7";"7";"6";"1";434627,71617;9;30;6076010,9705;6;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"33";"1";"83759947";"99001006";"7";"1";"10";"1";329449,23884;22;73;1398582,6947;3;"Ninguno de los anteriores";"Propia";"Plaga";"Si"
"34";"1";"83759949";"99001006";"7";"1";"6";"1";8491147,097;3;13;9576932,8067;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"35";"1";"83707430";"99001002";"7";"1";"6";"1";3736604,1714;6;17;4008701,1472;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"36";"1";"83707432";"99001006";"7";"1";"6";"1";3796292,0123;15;40;3812311,3946;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"37";"1";"83697748";"99001004";"2";"7";"12";"2";0;9;16;37471,800583;4;"Asentamiento indígena";"Propiedad colectiva";"No fueron Afectados";"No"
"38";"1";"83695136";"99001005";"2";"7";"12";"2";0;1;3;275998,04868;16;"Asentamiento indígena";"Propiedad colectiva";"No fueron Afectados";"No"
"39";"1";"83564376";"99001001";"7";"1";"12";"1";14804861,127;25;83;15037327,562;6;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"40";"1";"83577332";"99001002";"7";"1";"3";"1";2677951,6978;90;233;8580611,819;4;"Ninguno de los anteriores";"Propia";"LLuvia a destiempo";"Si"
"41";"1";"83577333";"99001006";"7";"2";"12";"1";4648934,1507;0;0;4787517,9547;3;"Ninguno de los anteriores";"Arriendo";"No fueron Afectados";"Si"
"42";"1";"83577392";"99001006";"7";"1";"6";"1";49188857,013;223;322;51992915,016;6;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"43";"1";"83577393";"99001006";"7";"1";"6";"1";10554148,343;141;236;11500763,991;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"44";"1";"83577394";"99001006";"7";"1";"6";"1";1227071,7795;61;177;1730253,5074;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"45";"1";"83577413";"99001002";"7";"1";"6";"1";5544577,5144;3;13;5614028,9127;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"46";"1";"83577415";"99001002";"7";"99";"6";"1";20559143,776;22;73;21668416,661;2;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"47";"1";"83577446";"99001002";"7";"1";"6";"1";328388,94693;14;40;561028,69179;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"48";"1";"83577447";"99001002";"7";"1";"6";"1";87112586,866;92;240;87145641,51;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"49";"1";"83577450";"99001006";"7";"1";"12";"1";7053285,9196;4;10;7079349,1177;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"50";"1";"83694892";"99001001";"7";"1";"12";"1";12029165,261;60;173;12059202,748;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"51";"1";"83694893";"99001001";"7";"1";"12";"1";1266984,9931;20;100;1314106,3655;6;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"52";"1";"83694944";"99001001";"7";"1";"12";"1";12274171,243;24;80;12805133,398;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"53";"1";"83695000";"99001001";"7";"1";"6";"1";1683937,8628;12;33;1693908,3825;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"54";"1";"83695069";"99001006";"2";"7";"12";"2";0;1;3;53623,829803;11;"Asentamiento indígena";"Propiedad colectiva";"No fueron Afectados";"No"
"55";"1";"83699064";"99001006";"7";"1";"6";"1";52683,257616;0;0;185827,11483;0;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"56";"1";"83707252";"99001006";"7";"9";"12";"1";29,43090792;11;57;242499,63097;2;"Ninguno de los anteriores";"Otra forma de tenencia";"No fueron Afectados";"Si"
"57";"1";"83707382";"99001006";"7";"1";"6";"1";2865941,3067;53;153;3196735,2786;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"58";"1";"83707383";"99001006";"6";"1";"6";"1";3303083,6484;101;440;5771903,6469;5;"Territorios de Ocupación Colectiva de Comunidades Negras sin titulación";"Propia";"Sequía";"Si"
"59";"1";"83707394";"99001006";"7";"1";"6";"1";44341877,227;176;573;46940770,119;6;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"60";"1";"83707398";"99001006";"7";"1";"6";"1";3827418,5232;0;0;4002052,0646;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"61";"1";"83707401";"99001006";"7";"1";"6";"1";4121070,3389;12;18;4806806,7617;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"62";"1";"83707429";"99001006";"7";"1";"6";"1";9630644,4028;9;30;9888472,3612;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"63";"1";"83707518";"99001002";"7";"1";"12";"1";13028597,596;9;30;13070667,66;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"64";"1";"83707547";"99001002";"7";"1";"6";"1";44296411,28;3;15;53633752,293;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"65";"1";"83707548";"99001002";"7";"1";"6";"1";862160,79357;47;116;909823,20187;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"66";"1";"83759702";"99001006";"7";"1";"6";"1";4461,1132732;53;153;711206,10182;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"67";"1";"83759787";"99001006";"7";"1";"12";"2";0;12;60;1433213,8892;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"No"
"68";"1";"83759942";"99001006";"7";"1";"6";"1";3569,8937681;1;3;11094,662956;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"69";"1";"89707380";"99001006";"7";"99";"6";"1";3235113,4765;62;203;3267893,6435;0;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"70";"1";"1512149";"99524003";"7";"1";"6";"1";377427,73204;17;41;2033562,3988;6;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"71";"1";"1654496";"99524001";"7";"1";"12";"1";67033934,838;106;205;109764632,87;28;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"72";"1";"1690976";"99524003";"7";"1";"12";"1";4310642,3708;51;387;11267641,256;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"73";"1";"1690977";"99524002";"7";"1";"12";"1";7589170,034;11;53;10394073,666;0;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"74";"1";"1729083";"99524002";"7";"2";"2";"1";21056117,449;158;513;30362183,329;2;"Ninguno de los anteriores";"Arriendo";"Exceso de LLuvia";"Si"
"75";"1";"1729089";"99524002";"7";"1";"6";"1";51976248,207;896;3148;179156512,56;0;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"76";"1";"1729090";"99524002";"7";"1";"12";"1";6627881,4078;109;354;20321695,651;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"77";"1";"1729096";"99524003";"7";"1";"12";"1";15301592,701;0;0;107363235,63;0;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"78";"1";"83669212";"99524001";"7";"99";"6";"1";5907383,8033;27;87;12261320,116;1;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"79";"1";"83690142";"99524003";"7";"99";"6";"1";6360759,9004;48;123;12185680,822;1;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"80";"1";"83690143";"99524001";"7";"99";"6";"1";6731022,8131;82;213;10904150,014;2;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"81";"1";"83690144";"99524001";"7";"99";"6";"1";33467568,869;54;157;51975110,311;2;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"82";"1";"83690145";"99524001";"7";"9";"12";"1";7499301,6595;52;150;12419921,716;2;"Ninguno de los anteriores";"Otra forma de tenencia";"No fueron Afectados";"Si"
"83";"1";"83690146";"99524001";"7";"99";"6";"1";7327733,6944;27;90;11534622,699;1;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"84";"1";"83690147";"99524001";"7";"99";"6";"1";6621051,4729;27;87;11903824,417;2;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"85";"1";"83690148";"99524001";"7";"99";"6";"1";4342326,9521;29;93;9866347,6707;2;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"86";"1";"83690149";"99524001";"7";"99";"6";"1";7606002,1052;47;137;12267065,385;1;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"87";"1";"83690150";"99524001";"7";"99";"6";"1";2020029,4892;11;53;3606410,701;1;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"88";"1";"83690151";"99524003";"7";"1";"12";"1";9316617,126;27;58;11593288,989;8;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"89";"1";"83690153";"99524002";"7";"1";"12";"1";9173135,7198;11;57;11621274,831;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"90";"1";"83690157";"99524002";"7";"7";"12";"1";42899922,164;52;159;51148046,907;8;"Ninguno de los anteriores";"Propiedad colectiva";"No fueron Afectados";"Si"
"91";"1";"83690158";"99524002";"7";"2";"12";"1";4304626,9556;8;40;6757875,0597;2;"Ninguno de los anteriores";"Arriendo";"No fueron Afectados";"Si"
"92";"1";"83690160";"99524002";"7";"1";"12";"1";772514,92964;2;7;1416474,3398;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"93";"1";"83690173";"99524002";"7";"1";"6";"1";4555049,1248;2;7;5898357,0346;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"94";"1";"83690174";"99524002";"7";"1";"12";"1";3119361,0282;12;33;4039188,3937;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"95";"1";"83690175";"99524002";"7";"1";"12";"1";4234174,4295;5;18;5227913,0642;1;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"96";"1";"83690180";"99524002";"7";"1";"6";"2";0;103;296;11409775,319;5;"Ninguno de los anteriores";"Propia";"Sequía";"No"
"97";"1";"83690181";"99524002";"7";"1";"6";"1";1862317,9528;3;13;2883016,0847;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"98";"1";"83690182";"99524002";"7";"1";"6";"1";6557701,7145;20;26;8136374,8551;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"99";"1";"83690184";"99524002";"7";"1";"6";"1";2083240,9572;61;76;2794076,4206;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"100";"1";"83690186";"99524002";"7";"1";"6";"1";20674522,127;64;208;35147273,321;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"101";"1";"83690187";"99524002";"7";"1";"6";"1";2081296,8979;3;13;2703531,2746;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"102";"1";"83690188";"99524002";"7";"1";"6";"1";9115233,1863;12;33;10889570,108;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"103";"1";"83690190";"99524002";"7";"1";"12";"1";6545198,0731;2;10;7842053,1412;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"104";"1";"83690192";"99524003";"7";"1";"6";"1";4735941,2757;40;65;11120362,174;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"105";"1";"83690195";"99524001";"7";"99";"6";"1";8010065,302;57;163;12402060,526;2;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"106";"1";"83690196";"99524001";"7";"1";"6";"1";5540068,1927;57;163;11935134,226;1;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"107";"1";"83690197";"99524001";"7";"99";"6";"1";6582450,6524;11;53;12240364,684;1;"Ninguno de los anteriores";"No sabe";"Sequía";"Si"
"108";"1";"83690198";"99524001";"7";"1";"6";"1";6623397,8394;106;273;11468551,575;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"109";"1";"83690199";"99524001";"7";"1";"6";"1";4204784,1595;64;187;10982339,59;1;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"110";"1";"83690200";"99524001";"7";"1";"6";"1";7295717,1702;47;137;10712567,812;1;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"111";"1";"83692964";"99524003";"7";"7";"12";"1";2139930,7378;19;54;9183583,6464;0;"Ninguno de los anteriores";"Propiedad colectiva";"No fueron Afectados";"Si"
"112";"1";"83693061";"99524003";"7";"1";"12";"2";0;297;963;94738547,004;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"No"
"113";"1";"83693062";"99524003";"7";"1";"12";"1";8269854,5319;29;53;11249845,498;5;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"114";"1";"83693064";"99524002";"7";"1";"6";"1";1052140,7823;114;296;27187341,345;7;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"115";"1";"83693066";"99524002";"7";"1";"6";"1";4546655,3757;8;23;6517441,0055;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"116";"1";"83693068";"99524002";"7";"1";"12";"1";1324193,5024;2;10;2945327,2738;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"117";"1";"83693074";"99524001";"7";"1";"12";"1";1187760,5363;3;13;1925316,622;5;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"118";"1";"83693076";"99524002";"7";"1";"6";"1";2774554,0819;18;155;3588692,163;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"119";"1";"83693080";"99524003";"7";"1";"11";"1";6626794,3639;30;97;9663997,0919;5;"Ninguno de los anteriores";"Propia";"Enfermedad";"Si"
"120";"1";"83696951";"99524003";"7";"1";"12";"1";7964518,5551;44;117;9584426,0715;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"121";"1";"83696954";"99524005";"7";"1";"6";"1";189812,00464;3;25;256259,23508;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"122";"1";"83696955";"99524005";"7";"9";"12";"1";21676639,095;90;887;26140339,815;3;"Ninguno de los anteriores";"Otra forma de tenencia";"No fueron Afectados";"Si"
"123";"1";"83696956";"99524005";"7";"1";"10";"1";167501,68739;15;40;683231,04697;3;"Ninguno de los anteriores";"Propia";"Plaga";"Si"
"124";"1";"83696959";"99524005";"7";"1";"12";"1";1157199,0291;2;6;8460561,0262;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"125";"1";"83696960";"99524003";"7";"1";"12";"1";6711801,1924;0;0;8364762,6152;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"126";"1";"83696961";"99524005";"7";"1";"12";"1";11371782,685;97;253;14379897,27;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"127";"1";"83696962";"99524003";"7";"9";"2";"1";583807,7564;533;1154;55342792,345;10;"Ninguno de los anteriores";"Otra forma de tenencia";"Exceso de LLuvia";"Si"
"128";"1";"83696963";"99524005";"7";"1";"6";"1";3852906,3027;42;110;4934619,9347;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"129";"1";"83696964";"99524002";"7";"7";"12";"1";2140442,2169;19;54;9183449,2725;1;"Ninguno de los anteriores";"Propiedad colectiva";"No fueron Afectados";"Si"
"130";"1";"83696965";"99524003";"7";"1";"9";"1";18551937,785;264;2573;73009386,393;6;"Ninguno de los anteriores";"Propia";"Incendio";"Si"
"131";"1";"83696966";"99524005";"7";"1";"6";"1";10814141,616;110;283;20910737,891;6;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"132";"1";"83696968";"99524003";"7";"1";"6";"1";1935374,7899;9;32;2545326,7755;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"133";"1";"83696969";"99524005";"7";"1";"12";"1";5069027,0679;24;52;8451431,7066;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"134";"1";"83696973";"99524003";"7";"1";"12";"1";7610,982665;2;10;125230,32881;6;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"135";"1";"83696974";"99524003";"7";"1";"6";"1";1669588,7332;14;26;2542560,5299;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"136";"1";"83696981";"99524005";"7";"9";"6";"1";6012896,5576;368;797;19168213,715;7;"Ninguno de los anteriores";"Otra forma de tenencia";"Sequía";"Si"
"137";"1";"83696984";"99524003";"7";"1";"9";"1";873552,85428;49;161;1890886,4865;4;"Ninguno de los anteriores";"Propia";"Incendio";"Si"
"138";"1";"83697004";"99524003";"7";"9";"12";"1";132624903,41;334;1449;161567032;7;"Ninguno de los anteriores";"Otra forma de tenencia";"No fueron Afectados";"Si"
"139";"1";"83697007";"99524005";"7";"1";"6";"1";13256,099077;3;25;156841,68736;1;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"140";"1";"83697009";"99524003";"7";"1";"6";"1";3776358,2461;6;17;7754355,9056;9;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"141";"1";"83697011";"99524003";"7";"1";"12";"1";3563278,9482;32;79;4658078,5112;6;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"142";"1";"83697012";"99524003";"7";"1";"12";"1";94799,645696;9;43;261465,1298;7;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"143";"1";"83697013";"99524003";"7";"9";"12";"1";13842765,067;6;20;26138676,056;3;"Ninguno de los anteriores";"Otra forma de tenencia";"No fueron Afectados";"Si"
"144";"1";"83697014";"99524003";"7";"1";"6";"1";653512,25263;4;8;11126523,387;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"145";"1";"83697017";"99524003";"7";"9";"6";"1";22310353,118;50;130;27959382,79;4;"Ninguno de los anteriores";"Otra forma de tenencia";"Sequía";"Si"
"146";"1";"83697018";"99524005";"7";"1";"12";"1";10919542,043;12;32;13070077,563;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"147";"1";"83697020";"99524005";"7";"1";"6";"1";6749,8483252;0;0;78563,469953;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"148";"1";"83697021";"99524003";"7";"1";"12";"1";5802050,4108;4;7;6935709,6992;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"149";"1";"83697022";"99524003";"7";"1";"6";"1";1476884,0537;263;2561;10482583,722;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"150";"1";"83697023";"99524003";"7";"1";"6";"1";869570,83993;41;312;1983395,1617;3;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"151";"1";"83697025";"99524005";"7";"7";"6";"1";61285,767221;9;87;1291630,1653;3;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"152";"1";"83697027";"99524003";"7";"1";"12";"1";524200,13046;31;100;2408630,1808;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"153";"1";"83697033";"99524005";"7";"7";"12";"1";8714,8504869;2;3;50609,72007;1;"Ninguno de los anteriores";"Propiedad colectiva";"No fueron Afectados";"Si"
"154";"1";"83697034";"99524005";"7";"1";"12";"1";9907,4366103;0;0;52282,397541;5;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"155";"1";"83697037";"99524003";"7";"1";"6";"1";91219,867573;10;26;348610,13127;6;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"156";"1";"83697039";"99524005";"7";"1";"12";"1";180799,16779;13;29;618653,39951;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"157";"1";"83697041";"99524003";"7";"1";"12";"1";1442002,7455;2;7;2657509,06;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"158";"1";"83697048";"99524005";"7";"1";"10";"1";19659,113549;3;25;260045,44637;2;"Ninguno de los anteriores";"Propia";"Plaga";"Si"
"159";"1";"83697049";"99524005";"7";"1";"6";"1";142085,45067;13;17;622384,83557;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"160";"1";"83697054";"99524003";"7";"1";"10";"1";3430830,0613;9;28;4529891,0354;3;"Ninguno de los anteriores";"Propia";"Plaga";"Si"
"161";"1";"83697055";"99524003";"7";"2";"10";"1";10420098,552;2;7;12567308,371;1;"Ninguno de los anteriores";"Arriendo";"Plaga";"Si"
"162";"1";"83697057";"99524003";"7";"1";"6";"1";271431,32589;5;7;4635011,0376;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"163";"1";"83697058";"99524003";"7";"1";"12";"1";3306476,6932;2;3;4130499,2953;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"164";"1";"83697059";"99524003";"7";"1";"12";"1";4444769,6517;6;13;5386095,7464;2;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"165";"1";"83697060";"99524002";"7";"1";"12";"1";97162274,171;48;123;121261099,88;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"166";"1";"83697061";"99524003";"7";"1";"10";"1";23403174,358;22;78;27882348,036;2;"Ninguno de los anteriores";"Propia";"Plaga";"Si"
"167";"1";"83697063";"99524003";"7";"1";"12";"1";12262140,192;1;3;15350705,035;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"168";"1";"83697070";"99524003";"7";"1";"12";"1";4426941,6372;4;12;5660099,8476;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"169";"1";"83697071";"99524003";"7";"1";"12";"1";6077458,0226;29;237;7461927,7869;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"170";"1";"83697073";"99524003";"7";"1";"12";"1";1532296,4109;2;7;2254376,9466;3;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
"171";"1";"83697074";"99524003";"7";"7";"12";"1";7667144,2775;20;67;9192400,1644;7;"Ninguno de los anteriores";"Propiedad colectiva";"No fueron Afectados";"Si"
"172";"1";"83697076";"99524003";"7";"1";"6";"1";3505576,4802;14;37;4264939,0096;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"173";"1";"83697078";"99524003";"7";"1";"6";"1";44000627,731;89;128;52278385,488;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"174";"1";"83697081";"99524002";"7";"1";"12";"1";56993759,795;15;30;67439199,168;4;"Ninguno de los anteriores";"Propia";"No fueron Afectados";"Si"
